,style_weight,epoch,total_loss,style_loss,content_loss
354,0.001,55,1672970.9,889020.44,783950.44
355,0.001,56,1645995.9,868923.4,777072.5
356,0.001,57,1619622.8,849284.1,770338.7
357,0.001,58,1594428.8,830345.1,764083.7
358,0.001,59,1570575.4,812609.1,757966.25
359,0.001,60,1547258.5,795564.8,751693.7
360,0.001,61,1524289.5,778851.25,745438.2
361,0.001,62,1501497.1,762666.9,738830.25
362,0.001,63,1478975.0,746928.44,732046.56
363,0.001,64,1457110.2,732009.56,725100.75
364,0.001,65,1435587.4,717744.4,717843.0
365,0.001,66,1415152.8,704297.9,710854.8
366,0.001,67,1396288.2,691519.8,704768.4
367,0.001,68,1378404.5,679166.25,699238.25
368,0.001,69,1361073.1,666991.5,694081.6
369,0.001,70,1344265.5,655276.94,688988.5
370,0.001,71,1327636.0,643770.1,683865.9
371,0.001,72,1311207.4,632350.75,678856.6
372,0.001,73,1295219.9,621133.6,674086.25
373,0.001,74,1279611.8,610265.25,669346.5
374,0.001,75,1264132.1,599522.06,664610.06
375,0.001,76,1248910.2,589173.94,659736.25
376,0.001,77,1233579.0,578813.06,654765.94
377,0.001,78,1218763.4,568892.8,649870.56
378,0.001,79,1204977.5,559443.3,645534.2
379,0.001,80,1191881.1,550430.1,641451.0
380,0.001,81,1178806.1,541836.06,636970.06
381,0.001,82,1165706.5,533273.0,632433.56
382,0.001,83,1152741.0,524805.94,627935.1
383,0.001,84,1139855.2,516169.12,623686.1
384,0.001,85,1127232.9,507438.2,619794.7
385,0.001,86,1115051.4,498859.72,616191.7
386,0.001,87,1103380.8,490671.56,612709.2
387,0.001,88,1092245.2,483104.38,609140.9
388,0.001,89,1081350.2,476031.84,605318.44
389,0.001,90,1070533.2,469552.2,600981.1
390,0.001,91,1059969.4,463491.78,596477.6
391,0.001,92,1049955.2,457798.72,592156.56
392,0.001,93,1039853.2,452011.56,587841.6
393,0.001,94,1029512.1,445989.47,583522.7
394,0.001,95,1018943.5,439804.22,579139.3
395,0.001,96,1008427.94,433622.44,574805.5
396,0.001,97,997872.1,427495.66,570376.5
397,0.001,98,987578.2,421640.2,565938.0
398,0.001,99,977662.5,415992.12,561670.4
399,0.001,100,968314.8,410616.06,557698.75
